TamanhoTabela,QtdeElementos,FuncaoHash,Colisoes,TempoExecucao
500000,1000000,Modulo,567231,0,24
500000,1000000,Multiplicacao,567841,0,23
500000,1000000,Dobramento,997073,6,71
500000,5000000,Modulo,4500030,1,86
500000,5000000,Multiplicacao,4500024,1,96
500000,5000000,Dobramento,4997038,153,09
500000,10000000,Modulo,9500000,7,44
500000,10000000,Multiplicacao,9500000,7,82
500000,10000000,Dobramento,9997028,679,38
750000,1000000,Modulo,447420,0,16
750000,1000000,Multiplicacao,447730,0,12
750000,1000000,Dobramento,997073,11,01
750000,5000000,Modulo,4250923,1,49
750000,5000000,Multiplicacao,4250946,1,40
750000,5000000,Dobramento,4997038,404,41
750000,10000000,Modulo,9250004,4,46
750000,10000000,Multiplicacao,9250002,4,14
750000,10000000,Dobramento,9997028,1599,88
999999,1000000,Modulo,368128,0,17
999999,1000000,Multiplicacao,368553,0,21
999999,1000000,Dobramento,997073,20,27
999999,5000000,Modulo,4006719,2,10
999999,5000000,Multiplicacao,4006808,2,88
999999,5000000,Dobramento,4997038,567,95
999999,10000000,Modulo,9000059,5,10
999999,10000000,Multiplicacao,9000059,5,59
999999,10000000,Dobramento,9997028,2649,70
